,Explanation Type,Explainer Method,Metric,Value
500,Counterfactual Explanation,dice,Diversity,31.66547607423533
501,Counterfactual Explanation,dice,Non representativeness,0.0333333333333333
502,Counterfactual Explanation,dice,Diversity,165.59114154767127
503,Counterfactual Explanation,dice,Non representativeness,0.0
504,Counterfactual Explanation,dice,Diversity,165.59114154767127
505,Counterfactual Explanation,dice,Non representativeness,0.0
506,Counterfactual Explanation,dice,Diversity,63.46842213194133
507,Counterfactual Explanation,dice,Non representativeness,0.0333333333333333
508,Counterfactual Explanation,dice,Diversity,220.88154388719687
509,Counterfactual Explanation,dice,Non representativeness,0.02
510,Counterfactual Explanation,dice,Diversity,165.59114154767127
511,Counterfactual Explanation,dice,Non representativeness,0.0
512,Counterfactual Explanation,dice,Non representativeness,0.0
513,Counterfactual Explanation,dice,Diversity,649.3203075953605
514,Counterfactual Explanation,dice,Non representativeness,0.01
515,Counterfactual Explanation,dice,Diversity,364.8013072349796
516,Rationale Explanation,rulexai,Average rule length,1.25
517,Rationale Explanation,rulexai,Fidelity,0.375
518,Case Based Explanation,protodash,Non representativeness,0.03
519,Case Based Explanation,protodash,Diversity,483.60080501644745
520,Counterfactual Explanation,dice,Diversity,31.66547607423533
521,Counterfactual Explanation,dice,Non representativeness,0.0333333333333333
522,Counterfactual Explanation,dice,Diversity,191.88827111604235
523,Counterfactual Explanation,dice,Non representativeness,0.04
524,Counterfactual Explanation,dice,Diversity,210.36714388598756
525,Counterfactual Explanation,dice,Non representativeness,0.01
526,Counterfactual Explanation,dice,Non representativeness,0.0333333333333333
527,Counterfactual Explanation,dice,Diversity,101.82681027138136
528,Data Explanation,protodash,Non representativeness,0.03
529,Data Explanation,protodash,Diversity,483.60080501644745
530,Data Explanation,protodash,Non representativeness,0.03
531,Data Explanation,protodash,Diversity,483.60080501644745
532,Data Explanation,protodash,Non representativeness,0.03
533,Data Explanation,protodash,Diversity,483.60080501644745
534,Data Explanation,protodash,Non representativeness,0.03
535,Data Explanation,protodash,Diversity,483.60080501644745
536,Case Based Explanation,protodash,Non representativeness,0.03
537,Case Based Explanation,protodash,Diversity,483.60080501644745
538,Rationale Explanation,rulexai,Average rule length,4.906542056074766
539,Rationale Explanation,rulexai,Fidelity,0.2767718068535827
540,Contrastive Explanation,shap,Faithfulness,0.6506132020808755
541,Contrastive Explanation,shap,Monotonicity,0.3
542,Contrastive Explanation,shap,Faithfulness,0.786074340672716
543,Contrastive Explanation,shap,Monotonicity,0.0
544,Contrastive Explanation,shap,Faithfulness,0.8022066142181405
545,Contrastive Explanation,shap,Monotonicity,0.0
546,Contrastive Explanation,shap,Faithfulness,0.6663865694245114
547,Contrastive Explanation,shap,Monotonicity,0.1
548,Data Explanation,protodash,Non representativeness,0.03
549,Data Explanation,protodash,Diversity,483.60080501644745
